mes,ano,dolar,ipca,selic,desemprego_usa,desemprego_sp,desemprego_geral,exportacao,importacao,saldo_mensal_balanca,taxa_cobertura_balanca,taxa_juros_eua,preco_petroleo,consumo_gasolina_m3,consumo_derivados_petroleo_barril,diesel_preco_medio_distribuidor,diesel_preco_medio_consumidor,etanol_preco_medio_consumidor,gasolina_preco_medio_distribuidor,gasolina_preco_medio_consumidor,gnv_preco_medio_distribuidor,gnv_preco_medio_consumidor
1,2003,"3,435","2,25","19,713",NA,"18,6","11,2","4,805",NA,"1,155","131,64","1,24","30,77",282,"1,205","1,324","1,527","1,138",NA,"2,16",NA,"1,029"
2,2003,"3,59","1,57","18,304","5,8","19,1","11,6","5,001",NA,"1,113","128,63","1,26","32,88",NA,"1,272",NA,NA,"1,257",NA,"2,223",696,"1,071"
3,2003,"3,446","1,23",NA,"5,8","19,7","12,1","5,239",NA,"1,537","141,52","1,25","30,36",243,NA,NA,"1,537","1,314","1,947","2,215",NA,"1,07"
4,2003,"3,119","0,97","18,716",6,NA,"12,4","5,71",NA,"1,72","143,11","1,26","25,49",272,"1,255","1,354","1,529","1,308","1,941","2,195",723,"1,068"
5,2003,"2,956","0,61","19,654","6,1","20,6","12,8","6,372","3,854","2,518","165,33","1,26","26,06",284,"1,294","1,276","1,456","1,27","1,869","2,113",717,"1,066"
6,2003,"2,883","-0,15","18,567","6,4","20,3",NA,"5,875",NA,"2,354",NA,"1,22","27,91",277,"1,258","1,245","1,416",NA,"1,734","1,971",708,"1,061"
7,2003,"2,879",NA,"20,842",NA,"19,7","12,8","6,104","4,049",NA,NA,NA,"28,59",286,NA,"1,245","1,416",933,"1,734","1,971",708,"1,061"
8,2003,"3,002","0,34","17,743","6,1",20,NA,"6,403","3,731",NA,"171,62","1,03","29,68",274,NA,"1,239",NA,"0,92","1,735","1,975",NA,"1,058"
9,2003,NA,NA,"16,795","6,1","20,6","12,9","7,28","4,616","2,664","157,71","1,01","26,88",10000,"1,387","1,23","1,401",959,"1,757","2,003",712,"1,06"
10,2003,"2,862",NA,"16,421",6,"20,4",NA,"7,566","5,029","2,537","150,45",NA,"29,01",302,"1,404","1,227","1,395",913,NA,NA,"0,72","1,062"
11,2003,"2,914","0,34","13,435","5,9",NA,"12,2","5,98","4,259","1,721",NA,1,"29,12",286,"1,303","1,226","1,391",882,"1,747","1,993","0,71",NA
12,2003,"2,927",NA,"13,733",13,"19,1",NA,NA,NA,"2,754","168,95","0,98","29,95",333,"1,338","2,45","2,781",NA,"3,5","3,991","1,42",NA
1,2004,NA,"0,76","12,676","5,6","19,1","11,7",NA,"4,214","1,586",NA,1,"31,4",287,"1,21",NA,"1,393",938,"1,761","2,007","0,71","1,074"
2,2004,"2,93","0,61",NA,"5,6","19,8",12,"5,722","3,742","1,98","152,91","1,01",NA,265,"1,198",NA,"1,392",882,NA,"2,003",706,"1,075"
3,2004,"2,906",NA,"13,791","5,7","20,6","12,8","7,927",NA,"2,595","148,67",1,"33,67",294,NA,"1,228","1,39",744,"1,717",NA,712,"1,076"
4,2004,NA,"0,37","11,819","5,6",NA,"13,1","6,589","4,629","1,96","142,34",1,"33,71",300,"1,352","1,228",NA,"0,73","1,709","1,972",712,"1,073"
5,2004,"3,1",NA,NA,"5,6","19,7","12,2","7,941","4,823",NA,NA,NA,"37,63",278,"1,261","1,263","1,44",908,"1,756",NA,NA,"1,13"
6,2004,"3,129","0,71","12,299","5,6","19,1",NA,"9,328",NA,"3,811","169,08","1,03","35,54",279,"1,332","1,299","1,494","0,98","1,81","2,157",815,"1,135"
7,2004,"3,037",NA,NA,NA,"18,5",NA,NA,"5,512","3,48","163,13","1,26","37,93",301,"1,382","1,358",NA,"1,015",NA,"2,203",815,"1,152"
8,2004,"3,003","0,69","12,936","5,4",NA,"11,4","9,056","5,623","3,433",NA,"1,43","42,08",295,"1,403","1,361",NA,"1,112","1,889","2,226",818,"1,15"
9,2004,"2,891","0,33","12,513","5,4","17,9",NA,"8,923",NA,"3,172","155,16",NA,NA,316,"1,437","1,363","1,548","1,154",NA,"2,232",813,"1,151"
10,2004,NA,"0,44","12,132",NA,"17,6",NA,"8,844","5,838","3,006","151,49","1,76","46,87",296,"1,362",NA,NA,"1,2","1,923","2,262",814,"1,151"
11,2004,"2,786",NA,NA,NA,"17,4","10,6","8,159","6,082","2,077","134,15","1,93",NA,295,"1,379","1,405","1,591","1,176","1,938","2,214","0,7","1,091"
12,2004,"2,72","0,86","14,828","5,4","17,1",NA,"9,194","5,684","3,51","161,75",NA,"39,09",338,"1,378","1,493","1,692","1,201",NA,"2,303",706,"1,096"
1,2005,"2,693","0,58","13,839","5,2","16,7",NA,"7,444","5,261","2,183",NA,"2,28","42,89",281,"1,197",NA,"1,687","1,242","2,005",NA,NA,"1,104"
2,2005,"2,598","0,59",NA,"5,4","17,1","10,6","7,756","4,973","2,783","155,96","2,5","44,56",304,NA,"1,5","1,687","1,242","2,005","2,285","0,7","1,104"
3,2005,"2,705","0,61","15,282",NA,NA,"10,8",NA,"5,908","3,343","156,58","2,63","50,93",314,"1,366",NA,"1,683","1,244","2,013","2,302",706,"1,106"
4,2005,"2,579","0,87",NA,NA,NA,"10,8","9,202","5,332",NA,NA,"2,79","50,64",NA,"1,346","1,5","1,683","1,244","2,013","2,302",706,"1,106"
5,2005,"2,452","0,49","15,031","5,1","17,5","10,2",NA,NA,"3,45","154,18",3,"47,81",299,"1,308",NA,NA,"1,13","1,997",NA,703,"1,107"
6,2005,"2,413","-0,02","15,856",5,"17,5","9,4","10,206","6,182","4,024","165,09","3,04",NA,308,"1,387","1,52","1,695","1,002","1,97","2,256",NA,"1,139"
7,2005,"2,374",NA,"15,113",5,"17,5","9,4","11,062","6,057",NA,"182,63","3,26","56,37",295,"1,346","1,52","1,694","1,048","1,978",NA,742,"1,142"
8,2005,"2,361","0,17","16,585","4,9","17,1",NA,"11,346",NA,"3,659",NA,"3,5","61,87",312,"1,444","1,52",NA,"1,06","1,98","2,273",745,"1,136"
9,2005,"2,294","0,35",150,"5,1","16,9","9,6",NA,"6,308","4,326","168,58","3,62","61,65",312,"1,421","1,61","1,83","1,044","2,073","2,401",758,"1,193"
10,2005,NA,"0,75","14,072",5,"16,9","9,6","9,903","6,219","3,684","159,24",NA,NA,285,NA,"1,69","1,885","1,205",NA,"2,47","0,76","1,189"
11,2005,"2,21","0,55","13,81",5,"16,4","9,6","10,79","6,699","4,091",NA,4,"54,98",302,"1,375","1,696",NA,"1,257","2,18","2,478",NA,"1,204"
12,2005,"2,283","0,36","14,736","4,9","15,8","8,3","10,897",NA,"4,346","166,34","4,16","56,47",339,"1,358",NA,"1,888","1,337","2,188","2,483",785,"1,208"
1,2006,"2,274",NA,"14,293","4,7","15,7",NA,"9,287",NA,NA,NA,"4,29","62,36",293,NA,NA,NA,"1,485","2,212","2,511",775,"1,202"
2,2006,"2,162","0,41","11,451","4,8","16,3","10,1","8,774","5,971","2,803","146,94","4,49","59,71",316,"1,301",NA,"1,889","1,533",NA,NA,775,"1,225"
